词,频次,主题,例句
哈哈哈,888,情感与互动,papi酱的春晚预测: 哈哈哈哈哈哈哈哈哈; 【旧曲新歌奥密克戎】2022春晚押题相声: 哈哈哈会玩; 求求各位，不要再押题春晚小品了……: 那太好了，今年网上也都是包饺子，希望也没有哈哈哈哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 哈哈哈哈哈哈经典河南方言; 二进制小品: 哈哈哈哈哈哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 哈哈哈哈哈; 无偿送给今年的春晚导演组: 哈哈哈哈哈哈哈; papi酱的春晚预测: 哈哈哈哈哈; 无偿送给今年的春晚导演组: 哈哈哈哈逐渐离谱了起来; 求求各位，不要再押题春晚小品了……: 哈哈哈; papi酱的春晚预测: 预言家刀了哈哈哈; 2024春晚小品押题《三胎》: 哈哈哈哈哈，对味儿了; 有烂梗的春晚才叫过年呐: 这个我笑了哈哈哈哈哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 这老演员怎么老笑场哈哈哈哈; 你觉得今年春晚最有可能出现哪些梗？: 哈哈哈哈哈哈哈哈哈; 二进制小品: 哈哈哈哈哈哈哈哈哈哈哈哈; 8秒看完2025年春晚: 哈哈哈哈; 我想看这样的春晚: 成毅杂技真的绷不住了哈哈哈哈哈哈哈哈; papi酱的春晚预测: 哈哈哈太准了; 无偿送给今年的春晚导演组: 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈; 【旧曲新歌奥密克戎】2022春晚押题相声: 呵呵哈哈哈哈; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 味儿太重了哈哈哈哈哈; 2024春晚小品押题《三胎》: 哈哈哈哈好的，生孩子的人不存在了; 求求各位，不要再押题春晚小品了……: 但这个我都没记住，哈哈哈; 无偿送给今年的春晚导演组: 硬套热梗也太像了哈哈哈; 无偿送给今年的春晚导演组: 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 哈哈哈哈哈哈哈哈哈哈哈; 你觉得今年春晚最有可能出现哪些梗？: 演技倍棒啊哈哈哈; papi酱的春晚预测: 哈哈哈哈哈味好浓; 求求各位，不要再押题春晚小品了……: 哈哈哈哈哈哈; papi酱的春晚预测: 哈哈哈哈哈哈哈哈哈哈哈哈; 无偿送给今年的春晚导演组: 所以不结啦哈哈哈; 我想看这样的春晚: 成毅来个杂技哈哈哈哈确实可以; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 哈哈哈; 无偿送给今年的春晚导演组: 蚌埠住了哈哈哈哈; papi酱的春晚预测: 这五分钟咋这么长哈哈哈哈哈; 2024春晚小品押题《三胎》: 三棱锥笑死我了哈哈哈哈; 你觉得今年春晚最有可能出现哪些梗？: 牛逼哈哈哈。; papi酱的春晚预测: 现在都神舟十五了哈哈哈哈（关注点错误）; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 哈哈哈哈哈哈; 求求各位，不要再押题春晚小品了……: 笑死我了哈哈哈哈; 无偿送给今年的春晚导演组: 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈很美的精神状态; papi酱的春晚预测: 2023年了，我怎么刷出了17年的视频哈哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 你们别把春晚导演的灵感都演完了，那他怎么办哈哈哈哈哈哈哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 哈哈哈，这不成明目张胆的抢外卖了吗; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 飞马哈哈哈哈哈哈哈哈; 2024春晚小品押题《三胎》: 哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 又笑场了哈哈哈; 无偿送给今年的春晚导演组: 所以，，不结啦，哈哈哈哈; 2024春晚小品押题《三胎》: 一直都没笑，直到弹幕有人说“二战转折点”，我tm笑死了好哈哈哈哈哈哈哈哈哈哈; 2024春晚小品押题《三胎》: 哈哈哈哈; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 巧妙，哈哈哈哈哈哈哈; 2024春晚小品押题《三胎》: 哈哈哈哈哈哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 里面是鞋，哈哈哈; 【旧曲新歌奥密克戎】2022春晚押题相声: 哈哈哈哈哈哈哈哈哈哈哈哈; 有烂梗的春晚才叫过年呐: 这啥梗啊哈哈哈我都不知道; 无偿送给今年的春晚导演组: 小亮哥哈哈哈哈哈哈; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 就是这个味，哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 哈哈哈; 《2025年蛇年春晚烂梗小品精选》: 左上角哈哈哈哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 我就不说，哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 哈哈哈哈哈车载娃娃; papi酱的春晚预测: 哈哈哈哈哈哈哈我也是2023回来看; 2024春晚小品押题《三胎》: 哈哈哈哈哈哈哈; 我想看这样的春晚: 这个节目单 我准时准点蹲着看哈哈哈哈哈哈; papi酱的春晚预测: papi醬不怕破音嗎哈哈哈哈哈; 我想看这样的春晚: 哈哈哈哈哈哈张颂文张译哈哈哈哈哈哈哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 我怀疑你俩就为了让对方笑场哈哈哈哈哈哈; 2024春晚小品押题《三胎》: 好厉害啊哈哈哈哈; 无偿送给今年的春晚导演组: 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈; 2024春晚小品押题《三胎》: 哈哈哈哈哈哈; 我想看这样的春晚: 哈哈哈哈哈哈哈哈哈哈哈; 你觉得今年春晚最有可能出现哪些梗？: 有感觉了，哈哈哈哈; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 突然发现这几个眼睛都好小哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 哈哈哈哈哈哈哈哈; 我想看这样的春晚: 三小只哈哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 哈哈哈！; papi酱的春晚预测: 哈哈哈哈哈哈哈哈哈哈哈哈哈或或; 我想看这样的春晚: 哈哈哈哈哈哈哈; 有烂梗的春晚才叫过年呐: 哈哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 这抖动哈哈哈！！; 我想看这样的春晚: 这个支持 疯狂支持 哈哈哈哈哈！！！！！！！！; 【旧曲新歌奥密克戎】2022春晚押题相声: 林俊杰可还行哈哈哈哈哈; 我想看这样的春晚: 成毅来杂役，他得吓个半死哈哈哈哈哈哈; 二进制小品: 哈哈哈哈; papi酱的春晚预测: 哈哈哈哈哈感觉papi都要哭了; 无偿送给今年的春晚导演组: 你绝对说对了，哈哈哈…（锤桌！）; 你觉得今年春晚最有可能出现哪些梗？: 哈哈哈哈哈哈哈哈哈哈
看,477,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 李诞看得老开心了; 求求各位，不要再押题春晚小品了……: 问题出在还有人看; 你觉得今年春晚最有可能出现哪些梗？: 这黑土的眼神，看上去是有点智慧在身上的; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 看得出左边这个要绷不住了; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 看了一半了实在看不动了; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这个我都没看。; 二进制小品: 我竟然能看懂他要说的是啥; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 王宁的表演一直很。。。特别是欢乐喜剧人的东西看到就想。。。。; 8秒看完2025年春晚: 该留着春晚看的; 你觉得今年春晚最有可能出现哪些梗？: 看不到弹幕; papi酱的春晚预测: 那你看看！（2023了，我爱豆的口头禅还是哈哈哈）; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 感觉看完了十年的春晚; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 看辽视的欢乐大米粒; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 坑确实挺好看的; 求求各位，不要再押题春晚小品了……: 问题是这吗？南方的观众（不一定看）要的是去北方化，好不好不重要; 二进制小品: 只有中国人能看懂; papi酱的春晚预测: 好想看春晚和这个的混剪哈哈哈哈; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 比30晚上的好看多了，哈哈; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 观众看后脑勺; 2025年春晚押题小品之《再见老登》: 这下看懂了; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 春晚没你不看; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 春节导演看了之后紧急重新排练; 2025春晚小品预测，这届网友太有才了: 6666666这春晚也没什么好看的了; papi酱的春晚预测: 2023年来会看啦; 2025年春晚押题小品之《再见老登》: 看来今年要好好看春晚了; 我想看这样的春晚: 求你去做春晚导演吧！！我也想看！！; 有烂梗的春晚才叫过年呐: 坏了，这个是真好看; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 看名字都没兴趣了; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 看到这里可以了 别往后看了哈哈哈; 2024春晚小品押题《三胎》: 当众表演生孩子倒还是挺有看头; 二进制小品: 鉴定为比春晚好看; 二进制小品: 竟然看懂了; 求求各位，不要再押题春晚小品了……: 无所谓，up押的挺好看的，留着过年的时候看; 求求各位，不要再押题春晚小品了……: 还好我没看; 《2025年蛇年春晚烂梗小品精选》: 你一点都不累，快继续看吧(看到了传给下一个视频); 你觉得今年春晚最有可能出现哪些梗？: 比春晚好看; papi酱的春晚预测: 还没看到huonifang; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这种门票送我我都不会去看长眼睛; 【旧曲新歌奥密克戎】2022春晚押题相声: 说生三胎的朋友一定没看注意UP更新稿件; 无偿送给今年的春晚导演组: 从来不看; 求求各位，不要再押题春晚小品了……: 你竟然还有打算看春晚？不上班吗; 你觉得今年春晚最有可能出现哪些梗？: 172人认真观看是吧; 2025春晚小品预测，这届网友太有才了: 五年没看过了; 二进制小品: 我竟然能看懂（; 无偿送给今年的春晚导演组: 我去年好像没看春晚; 《2025年蛇年春晚烂梗小品精选》: 666早知道这么精彩留到春晚再看了; 二进制小品: 靠差点看成魏大勋
春晚,406,春晚内容相关,papi酱的春晚预测: 提前看完2023春晚了; 求求各位，不要再押题春晚小品了……: 今年春晚第一个小品预制菜真香; 求求各位，不要再押题春晚小品了……: 别给春晚提供思路了; 2025春晚小品预测，这届网友太有才了: 我觉得春晚也别播了，没意思; 2025年春晚押题小品之《再见老登》: 春晚没你两我不看; 求求各位，不要再押题春晚小品了……: 行了，已经断定了，你比春晚有意思！; 有烂梗的春晚才叫过年呐: 上春晚了刷好评必须刷好评; 《2025年蛇年春晚烂梗小品精选》: 不得不说，这个创意比春晚好; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 考前十页纸，春晚知识点全掌握; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 看了11分钟，已经想吐了，很难想象真正看春晚的人的心情; 我想看这样的春晚: 禹宙中欣保底，竹林四侠更好，春晚就靠你了; 【旧曲新歌奥密克戎】2022春晚押题相声: up主这嗓子差点儿，要不也能上春晚; 求求各位，不要再押题春晚小品了……: 无所貂尾啊，我又不看春晚; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 别说，看得我有点期待今年的春晚了; 求求各位，不要再押题春晚小品了……: 5年没看春晚了，; 你觉得今年春晚最有可能出现哪些梗？: 比春晚好看; 2025春晚小品预测，这届网友太有才了: 导演：今年就靠春晚挣了一个亿而已; 【旧曲新歌奥密克戎】2022春晚押题相声: 感觉比真的春晚还好; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 演技很好？至少在这个春晚节目上，他聒噪得想让人锤死他，这就是本山大叔说的太油了。; 2025春晚小品预测，这届网友太有才了: 不是吧，除了老年人，谁还看春晚，365天，天天被教育，过个年也要被教育; 2025春晚小品预测，这届网友太有才了: 春晚？那是什么玩意儿？我年夜饭那么多好吃的，可不想吐……; 你觉得今年春晚最有可能出现哪些梗？: 加入春晚收藏夹; 二进制小品: 比春晚好笑; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这口才不上春晚可惜了; 你觉得今年春晚最有可能出现哪些梗？: 春晚你们上，我指定看！; 2025春晚小品预测，这届网友太有才了: 现在的春晚谁看啊; 2024春晚小品押题《三胎》: 押题了，不知道还以为在看春晚; 2025春晚小品预测，这届网友太有才了: 啊 春晚吧是倒闭了么 原来还有在播啊; 你觉得今年春晚最有可能出现哪些梗？: 春晚小品实录; 2025春晚小品预测，这届网友太有才了: 想看春晚直播脚裴; 《2025年蛇年春晚烂梗小品精选》: 666早知道这么精彩留到春晚再看了; 2025春晚小品预测，这届网友太有才了: 打算春晚就看那个挖地铁和盗墓的小品，然后耍手机了; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 感觉看完了十年的春晚; 《2025年蛇年春晚烂梗小品精选》: 我去提前看春晚了; 求求各位，不要再押题春晚小品了……: 建议没有春晚; 我想看这样的春晚: 支持张颂文上春晚！！; 2025春晚小品预测，这届网友太有才了: 现在谁还看春晚啊; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 2024春晚终极预测五套卷; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 家里有你俩还看什么春晚啊，你俩可比春晚好看多了; 求求各位，不要再押题春晚小品了……: 现在看春晚的心烦
2023,325,年度与时间,papi酱的春晚预测: 2023考古; papi酱的春晚预测: 2023年; papi酱的春晚预测: 2023年咧; papi酱的春晚预测: 2023年打卡哈哈哈哈; papi酱的春晚预测: 2023再来; papi酱的春晚预测: 2023考古，这些梗好怀念; papi酱的春晚预测: 2023年一月看，PAPI很腻害; papi酱的春晚预测: 2023年前来押题; papi酱的春晚预测: 2023年报道！！; papi酱的春晚预测: 2023打卡; papi酱的春晚预测: 哈哈哈哈，2023年依然适用; papi酱的春晚预测: 2023年来回顾; papi酱的春晚预测: 只因？2023传越来的; papi酱的春晚预测: 2023依然实用！; papi酱的春晚预测: 2023-1-16; papi酱的春晚预测: 2023年来打卡，刚解封不久; papi酱的春晚预测: 2023年11月27考古; papi酱的春晚预测: 2023前来考古复习; papi酱的春晚预测: 2023年起来考古; papi酱的春晚预测: 2023年1月来考古; papi酱的春晚预测: 马上2023年的春完了; papi酱的春晚预测: 玛雅现在2023年; papi酱的春晚预测: 2023春晚你好 ，还和2017春晚一样没啥变化; papi酱的春晚预测: 2023的回来复习; papi酱的春晚预测: 听见傅园慧出去看了眼时间……谁懂，我看2023也这样; papi酱的春晚预测: 2023来的; papi酱的春晚预测: 来自2023年的网友表示估计春节还是这个套路; papi酱的春晚预测: 好快，已经该2023春晚了; papi酱的春晚预测: 现在是2023年; papi酱的春晚预测: 2023年12月31日晚上; papi酱的春晚预测: 2023刷一次; papi酱的春晚预测: 我2023年来的哈哈
年,304,年度与时间,无偿送给今年的春晚导演组: 等一下老公不是去非洲一年了吗; papi酱的春晚预测: 2023年 预测一波; 无偿送给今年的春晚导演组: 你一年都在田间帮助农民兄弟们啥了; papi酱的春晚预测: 居然是17年的视频; papi酱的春晚预测: 今年春晚必有催婚，生孩子我立flag; 2025春晚小品预测，这届网友太有才了: 以前春晚年初一二重播还会看，现在看毛线; papi酱的春晚预测: 23年了还有一百多个人和我一起看; papi酱的春晚预测: 期待2023年。。。23年11月打卡; 求求各位，不要再押题春晚小品了……: 编剧：今年反其道而行之，把押题的全用上，反向押题; papi酱的春晚预测: 我的天呐，我以为是拍段子，没想到是2017年; 求求各位，不要再押题春晚小品了……: 那不是挺好的吗，我到好奇今年的有多炸裂; 2025春晚小品预测，这届网友太有才了: 大过年的还得被教育有病; 【旧曲新歌奥密克戎】2022春晚押题相声: 今年是姜昆; papi酱的春晚预测: 可是傅园慧真的很可爱 即使现在已经2023年了; 二进制小品: 过年好; papi酱的春晚预测: 2023年12月前来考古; papi酱的春晚预测: 2023 年来; 【旧曲新歌奥密克戎】2022春晚押题相声: woc感觉会比今年的精彩; 我想看这样的春晚: 省流，八十岁正是拼的年纪; papi酱的春晚预测: 好多年了; papi酱的春晚预测: 2023年1月来考古; papi酱的春晚预测: 但凡坤哥出道早一年（; 2024春晚小品押题《三胎》: 60年后你和大伟90啦; 求求各位，不要再押题春晚小品了……: 能不能让一年一度喜剧大赛的上; papi酱的春晚预测: 卧槽这是17年的视频。。。？; 2025春晚小品预测，这届网友太有才了: 五年没看过了; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 我给大家拜个早年; 求求各位，不要再押题春晚小品了……: 只会刷新去年春晚下限; papi酱的春晚预测: 现在是——————2023年！; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 年夜饭吃预制菜
饺子,228,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 吃饺子~; 2024春晚小品押题《三胎》: 上饺子了; 8秒看完2025年春晚: 春晚这么多年说饺子，广东人真的一点共鸣都没有; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 省流:最后有包饺子; 无偿送给今年的春晚导演组: 终于包饺子啦; 2024春晚小品押题《三胎》: 饺子的小曲; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 直接包饺子吧; 二进制小品: 饺饺子？绝绝子！; 2024春晚小品押题《三胎》: 饺子上场了！; 二进制小品: 《你饺子》; 无偿送给今年的春晚导演组: 饺子饺子饺饺子; 2024春晚小品押题《三胎》: 《包饺子的小曲》; 二进制小品: 啊啊啊啊啊啊啊啊啊家里人正好问我吃不吃饺子; 求求各位，不要再押题春晚小品了……: 改的那些个破玩意，还不如包饺子呢。; 二进制小品: 饺子饺子饺子饺; 求求各位，不要再押题春晚小品了……: 包饺子砸; 无偿送给今年的春晚导演组: 包饺子了; 求求各位，不要再押题春晚小品了……: 小品《包饺子》; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 饺子，赶紧的; 8秒看完2025年春晚: 生下来包饺子; 二进制小品: 天津饭 这辈子说的饺子都没你们多; 无偿送给今年的春晚导演组: 我先来，绝对有包饺子
啊啊啊,219,情感与互动,我想看这样的春晚: 啊啊啊啊啊啊我已经快笑死了; 我想看这样的春晚: 苦了成毅不能苦我们啊啊啊啊！！！; 我想看这样的春晚: 许嵩啊啊啊啊嵩哥有品啊啊啊啊啊啊啊！！; 无偿送给今年的春晚导演组: 啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊; papi酱的春晚预测: 救命啊啊啊啊; 我想看这样的春晚: 我支持啊啊啊啊啊啊啊啊啊啊，我们宇宙中心; 我想看这样的春晚: 啊啊啊啊啊啊啊啊啊支持禹昼中欣; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 啊啊啊啊啊现在才发现有多尬; 2024春晚小品押题《三胎》: 啊啊啊啊啊啊啊啊啊啊啊; 2024春晚小品押题《三胎》: 啊啊啊啊; 我想看这样的春晚: 啊啊啊啊啊啊啊啊啊啊啊啊啊; papi酱的春晚预测: 别吃了我啊啊啊啊啊啊啊啊; 2024春晚小品押题《三胎》: 啊啊啊我要似了; 2024春晚小品押题《三胎》: 啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊; papi酱的春晚预测: 哈哈哈哈哈哈哈哈太春晚了啊啊啊; papi酱的春晚预测: 2024了啊啊啊啊啊; 2024春晚小品押题《三胎》: 啊啊啊啊啊啊要死; 2025年春晚押题小品之《再见老登》: 史啊啊啊啊; 我想看这样的春晚: 啊啊啊李子柒！！！这个真喜欢！！！还有九月！！！; 无偿送给今年的春晚导演组: 哼哼哼啊啊啊啊啊啊啊啊啊啊要来力（全喜）; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 啊啊啊押上了！！！！
笑,158,情感与互动,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 有一说一马旭东在喜剧大赛里表演真的好，演的村长真的笑死我; 你觉得今年春晚最有可能出现哪些梗？: 黑土眼神笑死; 2024春晚小品押题《三胎》: 突然笑不出来; 《2025年蛇年春晚烂梗小品精选》: 不好笑，但是好笑; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 笑死了; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 高越这眼神我笑死了; 求求各位，不要再押题春晚小品了……: 笑死我了; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 笑场不断; 《2025年蛇年春晚烂梗小品精选》: 标题出来我释怀地笑; 2025春晚小品预测，这届网友太有才了: 笑死; 2024春晚小品押题《三胎》: 我突然释怀的笑; 无偿送给今年的春晚导演组: 开什么玩笑，要吐了; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 哈哈哈哈 笑场了啊; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 这老演员怎么还笑场了呢？; 2025春晚小品预测，这届网友太有才了: 没仔细看，回来给你点个赞，笑死我了↑
小品,153,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这里小品的作者没表达明白。他们穿的是海魂衫，估计他想表达因为军恋才导致感情不太好，军嫂确实不容易，因为海军长年在外执行任务; 求求各位，不要再押题春晚小品了……: 他们在用一种很新的方式演小品; 《2025年蛇年春晚烂梗小品精选》: 比春晚小品演员演技好; papi酱的春晚预测: 救命，孙涛和秦岚的那个小品; 你觉得今年春晚最有可能出现哪些梗？: 昨晚刚n刷赵本山小品; 求求各位，不要再押题春晚小品了……: 相声小品一定要有教育意义！（; 【旧曲新歌奥密克戎】2022春晚押题相声: 就是因为以前的才爱看，现在的小品能叫小品？; 我想看这样的春晚: 王妈团队可以演个小品; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 孙涛的小品没意思; papi酱的春晚预测: 春晚小品尬取流行梗; 2025春晚小品预测，这届网友太有才了: 打算春晚就看那个挖地铁和盗墓的小品，然后耍手机了; 求求各位，不要再押题春晚小品了……: 军旅小品：？？？; 求求各位，不要再押题春晚小品了……: 没小品最好，看得我尬死了; 我想看这样的春晚: 焖豆角可以改成《包饺子》，别忘了贾冰小品是包饺子重灾区……; 求求各位，不要再押题春晚小品了……: 以前沈腾演的扶不扶记了好几年 好小品真的可以记住
孩子,117,春晚内容相关,2024春晚小品押题《三胎》: 你自己不能照顾自己啊？生孩子就是带着目的来照顾你，真是无语; 2024春晚小品押题《三胎》: 有没有可能，这个孩子他不出生，他就没有负担; 2024春晚小品押题《三胎》: 三个孩子都不孝顺咋办？; 《2025年蛇年春晚烂梗小品精选》: 脚底也有孩子; 2024春晚小品押题《三胎》: nt，生一个大的孩子是不是得管小的孩子，谁负担大; 2024春晚小品押题《三胎》: 早点走，孩子就没负担了; 2025春晚小品预测，这届网友太有才了: 要想富少生孩子多种树; 无偿送给今年的春晚导演组: 没有孩子让街坊帮帮忙吧; 2024春晚小品押题《三胎》: 三个孩子一起啃老; 2024春晚小品押题《三胎》: 你看着我俩现场造孩子怎么样; 2024春晚小品押题《三胎》: 养孩子不是负担？？
